species	length	weight	id_number	gear	mesh	date	site	wypt	period	region	N	C	S
BBT	140	16.3	061819-020K	EF	na	43634	061819-EF31K	EF31K	stratified	inflow	12.99	-29.60	5.49
BBT	222	82	071719-103	JUV	38	43663	071719-0079	79	stratified	open_hills	13.43	-33.00	0.76
BBT	340	219	071619-222	JUV	57	43662	071619-0073	73	stratified	inflow	13.67	-30.33	4.11
BBT	247	119	071619-159	JUV	44	43662	071619-0073	73	stratified	inflow	13.85	-28.89	6.86
BBT	390	342	061719-036H	EF	na	43633	061719-EF35H	EF35H	stratified	inflow	14.06	-28.81	1.56
BBT	220	54	062019-011-EF20	EF	na	43636	062019-EF20	EF20	stratified	open_hills	14.54	-30.65	4.35
BBT	122	12.3	061819-019K	EF	na	43634	061819-EF31K	EF31K	stratified	inflow	14.68	-30.15	6.89
BBT	390	348	071619-238	JUV	64	43662	071619-0069	69	stratified	inflow	14.76	-32.78	1.02
BBT	147	21	061719-008	EF	na	43633	061719-EF	EF	stratified	open_hills	14.98	-29.73	6.07
BBT	235	64	071619-150	JUV	38	43662	071619-0073	73	stratified	inflow	15.02	-31.93	3.85
BBT	570	1070	082719-002	JUV	102	43704	082719-0106	106	stratified	open_hills	15.53	-30.16	3.30
BBT	592	1233	071619-239	JUV	57	43662	071619-0069	69	stratified	inflow	15.74	-30.33	2.00
BBT	209	54	071719-009	JUV	38	43663	071719-0075	75	stratified	open_hills	15.83	-31.92	3.05
BRC	177	55	061719-013	EF	na	43633	061719-EF	EF	stratified	open_hills	9.38	-20.63	5.93
BRC	190	66	061919-009-EF16	EF	na	43635	061919-EF16	EF16	stratified	open_hills	9.61	-20.50	5.29
BRC	240	106	071619-151	JUV	51	43662	071619-0073	73	stratified	inflow	9.89	-22.24	5.78
BRC	165	46	061819-005-EF24	EF	na	43634	061819-EF24	EF24	stratified	open_hills	10.03	-21.00	6.10
BRC	150	31	061719-012	EF	na	43633	061719-EF	EF	stratified	open_hills	10.12	-20.70	5.47
BRC	215	92	071619-099	JUV	44	43662	071619-0073	73	stratified	inflow	10.13	-23.82	6.44
BRC	239	124	071719-021	JUV	44	43663	071719-0075	75	stratified	open_hills	10.13	-22.16	5.46
BRC	192	88	071619-155	JUV	44	43662	071619-0073	73	stratified	inflow	11.40	-25.31	5.13
KOE	201	84	071619-152	JUV	44	43662	071619-0073	73	stratified	inflow	13.83	-32.63	3.26
KOE	87	6	062019-008-EF20	EF	na	43636	062019-EF20	EF20	stratified	open_hills	13.97	-24.89	7.28
KOE	133	16	062519-001	HALF_INCH	13	43641	062519-0059	59	stratified	inflow	15.12	-32.56	5.71
KOE	210	90	071619-153	JUV	51	43662	071619-0073	73	stratified	inflow	15.18	-34.18	6.49
KOE	120	12	062619-062	HALF_INCH	13	43642	062619-0057	57	stratified	inflow	15.47	-32.98	5.84
KOE	118	12	071719-023	HALF_INCH	13	43663	071719-0067	67	stratified	inflow	15.48	-29.61	5.91
KOE	122	12	062619-063	HALF_INCH	13	43642	062619-0059	59	stratified	inflow	15.91	-33.58	5.62
KOE	230	117	071619-213	JUV	57	43662	071619-0069	69	stratified	inflow	16.21	-32.49	5.62
LAT	555	1412	071719-037	JUV	89	43663	071719-0077	77	stratified	open_hills	13.52	-24.27	3.58
LAT	630	2816	062619-065	JUV	102	43642	062619-0058	58	stratified	inflow	13.89	-24.55	4.98
LAT	551	1382	071719-079	SPIN	89	43663	071719-0076	76	stratified	open_hills	14.31	-26.68	4.60
LAT	590	2105	071619-174	JUV	89	43662	071619-0069	69	stratified	inflow	14.76	-27.33	5.80
LAT	520	1284	082919-070	SPIN	114	43706	082919-0114	114	stratified	canyon	15.04	-28.61	3.71
LAT	447	854	071619-126	JUV	76	43662	071619-0070	70	stratified	inflow	15.21	-32.68	3.04
LAT	497	846	082719-069	JUV	89	43704	082719-0102	102	stratified	canyon	15.25	-29.74	5.39
LAT	745	4976	072419-047	JUV	44	43670	072419-0092	92	stratified	open_hills	15.26	-29.93	4.28
LAT	597	2044	062519-057	JUV	89	43641	062519-0058B	58	stratified	inflow	15.28	-29.11	4.70
LAT	551	814	082919-008	SPIN	64	43706	082919-0113	113	stratified	canyon	15.35	-29.92	3.89
LAT	519	1280	071719-038	JUV	89	43663	071719-0077	77	stratified	open_hills	15.45	-28.89	4.59
LAT	363	444	062519-044	JUV	64	43641	062519-0058B	58	stratified	inflow	15.63	-34.05	3.47
LAT	463	746	082919-022	JUV	76	43706	082919-0112	112	stratified	canyon	15.67	-32.04	4.65
LAT	317	260	071619-131	JUV	57	43662	071619-0070	70	stratified	inflow	15.70	-33.68	2.02
LAT	568	1594	062619-031	MWC	44	43642	062619-0061	61	stratified	inflow	15.72	-28.34	5.29
LAT	391	597	071619-212	JUV	76	43662	071619-0070	70	stratified	inflow	15.83	-33.09	4.68
LAT	492	976	072419-070	JUV	51	43670	072419-0092	92	stratified	open_hills	15.83	-32.52	1.99
LAT	300	250	071619-234	SPIN	76	43662	071619-0072	72	stratified	inflow	15.86	-32.38	3.15
LAT	501	1008	072419-006	SPIN	89	43670	072419-0091	91	stratified	open_hills	15.86	-31.15	4.91
LAT	445	698	062519-005	JUV	76	43641	062519-0056A	56	stratified	inflow	15.87	-32.02	4.48
LAT	362	466	062619-084	JUV	64	43642	062619-0058	58	stratified	inflow	15.90	-33.60	3.38
LAT	453	696	082719-020	JUV	89	43704	082719-0106	106	stratified	open_hills	15.91	-32.44	5.88
LAT	342	344	082919-044	JUV	64	43706	082919-0110	110	stratified	canyon	15.92	-32.90	4.14
LAT	445	818	072419-049	SPIN	89	43670	072419-0093	93	stratified	open_hills	15.93	-33.43	4.10
LAT	412	712	062619-100	JUV	76	43642	062619-0056	56	stratified	inflow	15.96	-33.34	5.55
LAT	501	938	082919-075	SPIN	70	43706	082919-0115	115	stratified	canyon	16.03	-31.55	5.05
LAT	444	698	082919-005	SPIN	76	43706	082919-0113	113	stratified	canyon	16.14	-32.12	3.44
LAT	625	1846	082919-062	JUV	89	43706	082919-0116	116	stratified	canyon	16.17	-30.54	4.18
LAT	342	394	082719-035	JUV	64	43704	082719-0105	105	stratified	open_hills	16.18	-34.15	0.52
LAT	273	157	071619-201	JUV	51	43662	071619-0070	70	stratified	inflow	16.18	-33.35	4.10
LAT	481	932	072319-046	JUV	89	43669	072319-0087	87	stratified	open_hills	16.18	-32.31	4.94
LAT	314	215	062619-108	JUV	57	43642	062619-0056	56	stratified	inflow	16.20	-31.76	3.99
LAT	325	272	071619-184	JUV	57	43662	071619-0073	73	stratified	inflow	16.20	-31.66	3.35
LAT	468	836	062519-006	JUV	102	43641	062519-0058A	58	stratified	inflow	16.24	-32.07	5.12
LAT	545	1290	072419-055	JUV	76	43670	072419-0092	92	stratified	open_hills	16.24	-31.03	4.26
LAT	512	1044	071619-136	JUV	89	43662	071619-0070	70	stratified	inflow	16.24	-31.47	4.21
LAT	372	430	071719-085	SPIN	70	43663	071719-0076	76	stratified	open_hills	16.25	-34.22	4.93
LAT	875	8600	082919-3333	SPIN	127	43706	082919-0115	115	stratified	canyon	16.26	-33.51	4.64
LAT	517	1171	071619-190	JUV	51	43662	071619-0069	69	stratified	inflow	16.27	-31.11	5.14
LAT	536	1244	082719-062	SPIN	102	43704	082719-0104	104	stratified	canyon	16.28	-31.89	2.02
LAT	387	494	082919-038	JUV	64	43706	082919-0110	110	stratified	canyon	16.29	-31.99	4.63
LAT	293	200	071719-126	JUV	57	43663	071719-0079	79	stratified	open_hills	16.30	-31.39	5.88
LAT	460	930	062519-023	JUV	89	43641	062519-0056A	56	stratified	inflow	16.31	-33.59	3.99
LAT	501	1112	071719-094	JUV	44	43663	071719-0079	79	stratified	open_hills	16.35	-31.95	4.26
LAT	220	78	071719-110	JUV	38	43663	071719-0079	79	stratified	open_hills	16.36	-33.27	1.37
LAT	515	1076	071619-045	SPIN	76	43662	071619-0066	66	stratified	inflow	16.39	-31.82	5.16
LAT	468	852	071719-015	JUV	89	43663	071719-0075	75	stratified	open_hills	16.40	-33.09	5.37
LAT	240	124	071619-242	JUV	38	43662	071619-0070	70	stratified	inflow	16.42	-32.65	3.59
LAT	596	1986	082919-040	SPIN	114	43706	082919-0111	111	stratified	canyon	16.43	-33.43	4.39
LAT	229	96	072419-011	JUV	38	43670	072419-0090	90	stratified	open_hills	16.44	-33.06	0.90
LAT	418	676	082719-065	SPIN	89	43704	082719-0103	103	stratified	canyon	16.45	-33.83	3.63
LAT	553	1282	062519-016	JUV	89	43641	062519-0058A	58	stratified	inflow	16.46	-30.33	5.12
LAT	472	842	072419-017	SPIN	76	43670	072419-0091	91	stratified	open_hills	16.49	-32.90	3.74
LAT	326	290	082719-067	SPIN	57	43704	082719-0103	103	stratified	canyon	16.52	-32.38	2.67
LAT	399	440	082919-051	SPIN	70	43706	082919-0111	111	stratified	canyon	16.53	-34.72	2.98
LAT	190	50	071619-094	JUV	38	43662	071619-0069	69	stratified	inflow	16.54	-33.19	3.34
LAT	545	1288	082719-081	SPIN	70	43704	082719-0103	103	stratified	canyon	16.58	-28.90	4.34
LAT	341	306	082919-039	JUV	64	43706	082919-0110	110	stratified	canyon	16.59	-32.60	3.29
LAT	277	162	071619-101	JUV	57	43662	071619-0070	70	stratified	inflow	16.62	-32.29	4.51
LAT	475	928	062519-037	JUV	102	43641	062519-0058B	58	stratified	inflow	16.64	-31.87	1.55
LAT	587	1752	072319-057	JUV	76	43669	072319-0083	83	stratified	open_hills	16.65	-31.86	5.67
LAT	321	244	082919-037	SPIN	57	43706	082919-0111	111	stratified	canyon	16.72	-32.79	5.12
LAT	493	866	082919-063	JUV	89	43706	082919-0116	116	stratified	canyon	16.74	-31.82	4.50
LAT	250	104	082919-054	JUV	44	43706	082919-0110	110	stratified	canyon	16.75	-35.29	3.37
LAT	379	419	072419-074	JUV	64	43670	072419-0092	92	stratified	open_hills	16.80	-32.25	4.93
LAT	393	450	072419-041	SPIN	64	43670	072419-0093	93	stratified	open_hills	16.85	-32.34	4.82
LAT	376	516	071619-028	SPIN	70	43662	071619-0066	66	stratified	inflow	16.85	-34.04	3.94
LAT	285	210	072419-099	JUV	57	43670	072419-0092	92	stratified	open_hills	16.87	-32.66	2.64
LAT	461	952	082719-089	JUV	102	43704	082719-0102	102	stratified	canyon	16.87	-32.28	4.38
LAT	369	394	072419-032	SPIN	57	43670	072419-0095	95	stratified	open_hills	16.89	-30.31	4.83
LAT	468	804	072419-053	JUV	57	43670	072419-0092	92	stratified	open_hills	16.91	-31.11	5.29
LAT	287	166	082919-023	JUV	51	43706	082919-0112	112	stratified	canyon	16.93	-32.81	0.65
LAT	255	118	082919-029	JUV	44	43706	082919-0110	110	stratified	canyon	16.94	-32.48	2.87
LAT	250	114	071719-090	JUV	44	43663	071719-0077	77	stratified	open_hills	16.94	-33.04	0.90
LAT	306	230	072419-042	JUV	64	43670	072419-0094	94	stratified	open_hills	16.99	-32.20	-0.89
LAT	415	492	082919-009	JUV	76	43706	082919-0112	112	stratified	canyon	16.99	-32.35	2.77
LAT	382	402	082719-078	SPIN	114	43704	082719-0103	103	stratified	canyon	17.00	-32.55	3.52
LAT	375	438	072319-033	SPIN	57	43669	072319-0088	88	stratified	open_hills	17.08	-32.76	5.30
LAT	372	430	082919-081	SPIN	57	43706	082919-0114	114	stratified	canyon	17.08	-31.95	1.98
LAT	366	320	071619-229	JUV	57	43662	071619-0069	69	stratified	inflow	17.15	-32.20	2.86
LAT	441	674	072419-089	JUV	64	43670	072419-0092	92	stratified	open_hills	17.18	-32.39	4.73
LAT	514	1128	062519-004	JUV	89	43641	062519-0056A	56	stratified	inflow	17.19	-31.17	3.53
LAT	530	1046	062519-019	JUV	102	43641	062519-0058A	58	stratified	inflow	17.23	-31.43	3.28
LAT	258	120	082919-025	JUV	44	43706	082919-0112	112	stratified	canyon	17.24	-31.51	3.29
LAT	412	472	082919-060	SPIN	102	43706	082919-0114	114	stratified	canyon	17.32	-31.62	3.22
LAT	1012	9222	082719-001	JUV	76	43704	082719-0106	106	stratified	open_hills	17.38	-36.38	2.48
LAT	1010	12900	082919-001	JUV	89	43706	082919-0112	112	stratified	canyon	17.49	-37.05	2.59
LAT	360	336	072319-054	JUV	64	43669	072319-0087	87	stratified	open_hills	17.54	-33.02	4.75
LAT	220	92	082919-018	JUV	64	43706	082919-0112	112	stratified	canyon	17.92	-34.84	2.32
